Running test cases from testcase\testcase5.txt
State: 00000, Probability: 0.0
State: 00001, Probability: 0.0
State: 00010, Probability: 0.0
State: 00011, Probability: 0.0
State: 00100, Probability: 0.0
State: 00101, Probability: 0.0
State: 00110, Probability: 0.0
State: 00111, Probability: 0.0
State: 01000, Probability: 0.0
State: 01001, Probability: 0.0
State: 01010, Probability: 0.0
State: 01011, Probability: 0.0
State: 01100, Probability: 0.0
State: 01101, Probability: 0.0
State: 01110, Probability: 0.146
State: 01111, Probability: 0.854
State: 10000, Probability: 0.0
State: 10001, Probability: 0.0
State: 10010, Probability: 0.0
State: 10011, Probability: 0.0
State: 10100, Probability: 0.0
State: 10101, Probability: 0.0
State: 10110, Probability: 0.0
State: 10111, Probability: 0.0
State: 11000, Probability: 0.0
State: 11001, Probability: 0.0
State: 11010, Probability: 0.0
State: 11011, Probability: 0.0
State: 11100, Probability: 0.0
State: 11101, Probability: 0.0
State: 11110, Probability: 0.0
State: 11111, Probability: 0.0
